code,name,availability,weight,description,offerings,equates,restrictions,departments,locations,credit prerequisites,prerequisites
ACCT*1220,Introductory Financial Accounting,"Summer, Fall, and Winter",0.5,"This course will introduce students to the fundamental concepts and practices of Financial Accounting. Students are expected to become adept at performing the functions related to the accounting cycle, including the preparation of financial statements.",Also offered through Distance Education format.,,ACCT*2220. This is a Priority Access Course. Enrolment may be restricted to particular programs or specializations. See department for more information.,Department of Management,Guelph,0
ACCT*1240,Applied Financial Accounting,Winter Only,0.5,"This course requires students to apply the fundamental principles emanating from accounting's conceptual framework and undertake the practice of financial accounting. Students will become adept at performing the functions related to each step in the accounting cycle, up to and including the preparation of the financial statements and client reports. Students will also develop the skills necessary for assessing an organization's system of internal controls and financial conditions.",Also offered through Distance Education format.,,ACCT*2240. This is a Priority Access Course. Enrolment may be restricted to particular programs or specializations. See department for more information.,Department of Management,Guelph,0,ACCT*1220 or ACCT*2220,1 ACCT*1220 ACCT*2220
ACCT*2230,Management Accounting,Fall and Winter,0.5,"This course emphasizes the use of accounting information to facilitate effective management decisions. Topics include cost determination, cost control and analysis, budgeting, profit-volume analysis and capital investment analysis.",,"AGEC*2230, BUS*2230",This is a Priority Access Course. Enrolment may be restricted to particular programs or specializations. See department for more information.,Department of Management,Guelph,0,ACCT*1220 or ACCT*2220,1 ACCT*1220 ACCT*2220
ACCT*3230,Intermediate Management Accounting,Winter and Summer,0.5,"This course continues the managerial decision making focus of ACCT*2230. Topics include process costing, transfer pricing, the decision making process, variances and performance measurement.",Also offered through Distance Education format.,BUS*3230,Enrolment may be restricted to particular degrees or programs. See department for more information.,Department of Management,Guelph,0,ACCT*2230,ACCT*2230
ACCT*3280,Auditing I,Summer and Fall,0.5,"Auditing I is an examination of the principles and theory underlying the practice of auditing. Concepts of materiality and audit risk are examined and discussed. Sources and techniques for gathering auditing evidence will also be examined. Modern organizations rely on information systems, technology and internal controls to manage and monitor their operations and the impact of these systems on the quality of information produced and on the scope of audits are important elements of this course.",,,,Department of Management,Guelph,0,ACCT*3330,ACCT*3330
ACCT*3330,Intermediate Financial Accounting I,Fall and Winter,0.5,"This course presents a critical evaluation of accounting concepts, principles and practices in relation to both the traditional and current value accounting measurement models. Emphasis will be on the effect of alternative accounting practices and measurement models on income determination and asset valuation.",Also offered through Distance Education format.,BUS*3330,This is a Priority Access Course. Enrolment may be restricted to particular programs or specializations. See department for more information.,Department of Management,Guelph,0,ACCT*1220 or ACCT*2220,1 ACCT*1220 ACCT*2220
ACCT*3340,Intermediate Financial Accounting II,Summer and Fall,0.5,"This course focuses on how entities account for current and non-current liabilities and equity accounts, including, income taxes, leases, pensions and other post retirement benefits, share equity and retained earnings, stock options. Additional topics may include earnings per share, restatements and statement analysis.",,,,Department of Management,Guelph,0,ACCT*3330,ACCT*3330
ACCT*3350,Taxation,Summer and Fall,0.5,The fundamentals of the tax system as it applies to all taxpayers will be the focus of the first half of the course. The second half will develop forms of business organizations from a tax perspective. Basic tax planning techniques which attempt to maximize the cash flows and returns on investments will then be studied. The emphasis in the course is on business decision making. A review of personal financial planning and investment decisions will also be included.,,,This is a Priority Access Course. Enrolment may be restricted to particular degrees or programs. See the department for more information.,Department of Management,Guelph,0,ACCT*3330,ACCT*3330
ACCT*4220,Advanced Financial Accounting,Fall Only,0.5,"This course is a critical evaluation of issues and problems associated with business combinations, long-term intercorporate investments, foreign operations and accounting for not-for-profit organizations. There is a strong emphasis on applying this body of knowledge through practical problems.",,BUS*4220,Enrolment may be restricted to particular degrees or programs. See the department for more information.,Department of Management,Guelph,0,"(ACCT*3330 or BUS*3330), (ACCT*3340 or BUS*3340)",
ACCT*4230,Advanced Management Accounting,Winter Only,0.5,This course provides advanced coverage of management accounting concepts and the application of management accounting information for managerial decision-making. This course extends the concepts covered in intermediate management accounting and also integrates pertinent situational problems from other functional areas of enterprises such as global trade and process controls.,,BUS*4230,This is a Priority Access Course. Enrolment may be restricted to particular degrees or programs. See the department for more information.,Department of Management,Guelph,0,ACCT*3230 or BUS*3230,1 ACCT*3230 BUS*3230
ACCT*4270,Auditing II,Fall Only,0.5,This course considers a number of advanced topics concerning both the auditor and audit techniques within the context of public accounting. It builds on the knowledge of the audit task derived in Auditing I - ACCT*3280 as well as the depth and breadth of knowledge gained in ACCT*3330 and ACCT*3340.,,BUS*4270,,Department of Management,Guelph,0,ACCT*3280 or BUS*3280,1 ACCT*3280 BUS*3280
